name,kind,x,y,width,height,rotation,x0,x1,y0,y1
channel_1,channel,477.627,223.346,54.0,10.0,24.0,114,128,75,84
channel_2,channel,786.0,378.0,50.0,10.0,288.0,192,199,102,115
channel_3,channel,999.803,372.257,55.0,10.0,10.0,245,260,112,118
channel_4,channel,1084.0,386.0,79.0,10.0,10.0,266,287,116,122
initial_groups,initial,981.0,445.0,44.0,33.0,0.0,240,252,130,140
goal_region,goal,780.71,384.302,24.0,33.0,20.0,188,197,115,126
goal_region2,goal,957.066,364.376,24.0,31.0,12.0,233,241,110,120
goal_region5,goal,1167.045,397.055,20.0,45.0,6.0,286,293,118,131
goal_region11,goal,449.181,217.974,20.0,40.0,20.0,104,113,74,86
exits,exit,896.0,431.0,33.0,47.0,10.0,217,228,127,141
decision_channel_split,route,985.0,404.0,35.0,36.0,0.0,241,251,120,130
merge_after_channels,route,861.716,356.239,80.0,60.0,10.0,208,231,108,127
post_channel_1,route,524.446,207.784,20.0,30.0,20.0,124,132,71,81
post_channel_2,route,807.808,291.732,17.0,20.0,17.0,196,202,92,99
post_channel_3,route,1043.232,336.484,21.0,35.0,6.0,255,262,103,113
post_channel_4,route,1090.045,342.055,15.0,39.0,6.0,267,272,105,116
waypoint_channel2_to_channel3,route,1066.0,343.0,21.0,18.0,6.0,261,268,105,111
