name,source_path,x0,x1,y0,y1
wall_path2_0000,path2,114,116,80,81
wall_path2_0001,path2,116,118,81,82
wall_path2_0002,path2,130,132,81,82
wall_path2_0003,path2,118,120,82,83
wall_path2_0004,path2,129,130,82,83
wall_path2_0005,path2,132,135,82,83
wall_path2_0006,path2,120,122,83,84
wall_path2_0007,path2,129,130,83,84
wall_path2_0008,path2,135,138,83,84
wall_path2_0009,path2,122,125,84,85
wall_path2_0010,path2,128,129,84,85
wall_path2_0011,path2,138,142,84,85
wall_path2_0012,path2,124,127,85,86
wall_path2_0013,path2,128,129,85,86
wall_path2_0014,path2,142,145,85,86
wall_path2_0015,path2,127,128,86,87
wall_path2_0016,path2,145,148,86,87
wall_path2_0017,path2,127,128,87,88
wall_path2_0018,path2,148,151,87,88
wall_path2_0019,path2,126,128,88,89
wall_path2_0020,path2,151,155,88,89
wall_path2_0021,path2,126,127,89,90
wall_path2_0022,path2,155,158,89,90
wall_path2_0023,path2,126,127,90,91
wall_path2_0024,path2,158,161,90,91
wall_path2_0025,path2,125,127,91,92
wall_path2_0026,path2,161,164,91,92
wall_path2_0027,path2,125,126,92,93
wall_path2_0028,path2,164,168,92,93
wall_path2_0029,path2,125,126,93,94
wall_path2_0030,path2,168,171,93,94
wall_path2_0031,path2,125,129,94,95
wall_path2_0032,path2,171,174,94,95
wall_path2_0033,path2,128,132,95,96
wall_path2_0034,path2,174,177,95,96
wall_path2_0035,path2,132,135,96,97
wall_path2_0036,path2,177,181,96,97
wall_path2_0037,path2,135,138,97,98
wall_path2_0038,path2,181,184,97,98
wall_path2_0039,path2,138,141,98,99
wall_path2_0040,path2,184,187,98,99
wall_path2_0041,path2,141,144,99,100
wall_path2_0042,path2,187,191,99,100
wall_path2_0043,path2,144,147,100,101
wall_path2_0044,path2,190,194,100,101
wall_path2_0045,path2,147,150,101,102
wall_path2_0046,path2,194,196,101,102
wall_path2_0047,path2,150,154,102,103
wall_path2_0048,path2,194,195,102,103
wall_path2_0049,path2,153,157,103,104
wall_path2_0050,path2,194,195,103,104
wall_path2_0051,path2,157,160,104,105
wall_path2_0052,path2,194,195,104,105
wall_path2_0053,path2,160,163,105,106
wall_path2_0054,path2,193,194,105,106
wall_path2_0055,path2,163,166,106,107
wall_path2_0056,path2,193,194,106,107
wall_path2_0057,path2,166,169,107,108
wall_path2_0058,path2,193,194,107,108
wall_path2_0059,path2,169,172,108,109
wall_path2_0060,path2,193,194,108,109
wall_path2_0061,path2,172,175,109,110
wall_path2_0062,path2,192,193,109,110
wall_path2_0063,path2,175,179,110,111
wall_path2_0064,path2,192,193,110,111
wall_path2_0065,path2,178,182,111,112
wall_path2_0066,path2,192,193,111,112
wall_path2_0067,path2,181,185,112,113
wall_path2_0068,path2,191,193,112,113
wall_path2_0069,path2,185,188,113,114
wall_path2_0070,path2,191,192,113,114
wall_path2_0071,path2,188,192,114,115
wall_path2_0072,path2,191,192,115,116
wall_path3_0000,path3,262,267,112,113
wall_path3_0001,path3,262,263,113,114
wall_path3_0002,path3,265,266,113,114
wall_path3_0003,path3,262,263,114,115
wall_path3_0004,path3,265,266,114,115
wall_path3_0005,path3,261,262,115,116
wall_path3_0006,path3,265,266,115,116
wall_path3_0007,path3,241,245,116,117
wall_path3_0008,path3,261,262,116,117
wall_path3_0009,path3,265,266,116,117
wall_path3_0010,path3,245,250,117,118
wall_path3_0011,path3,261,262,117,118
wall_path3_0012,path3,265,266,117,118
wall_path3_0013,path3,250,255,118,119
wall_path3_0014,path3,261,262,118,119
wall_path3_0015,path3,265,266,118,119
wall_path3_0016,path3,255,262,119,120
wall_path3_0017,path3,264,265,119,120
wall_path3_0018,path3,265,270,120,121
wall_path3_0019,path3,270,276,121,122
wall_path3_0020,path3,276,281,122,123
wall_path3_0021,path3,281,286,123,124
wall_path5_0000,path5,200,201,103,104
wall_path5_0001,path5,199,200,104,105
wall_path5_0002,path5,201,207,104,105
wall_path5_0003,path5,199,200,105,106
wall_path5_0004,path5,207,213,105,106
wall_path5_0005,path5,199,200,106,107
wall_path5_0006,path5,213,220,106,107
wall_path5_0007,path5,198,199,107,108
wall_path5_0008,path5,219,226,107,108
wall_path5_0009,path5,198,199,108,109
wall_path5_0010,path5,226,232,108,109
wall_path5_0011,path5,198,199,109,110
wall_path5_0012,path5,232,238,109,110
wall_path5_0013,path5,198,199,110,111
wall_path5_0014,path5,238,245,110,111
wall_path5_0015,path5,197,198,111,112
wall_path5_0016,path5,245,251,111,112
wall_path5_0017,path5,197,198,112,113
wall_path5_0018,path5,251,255,112,113
wall_path5_0019,path5,197,198,113,114
wall_path5_0020,path5,196,197,114,115
wall_path5_0021,path5,196,197,115,116
wall_path5_0022,path5,196,197,116,117
wall_path6_0000,path6,51,52,37,38
wall_path6_0001,path6,51,54,38,39
wall_path6_0002,path6,50,51,39,40
wall_path6_0003,path6,54,56,39,40
wall_path6_0004,path6,50,51,40,41
wall_path6_0005,path6,56,59,40,41
wall_path6_0006,path6,49,50,41,42
wall_path6_0007,path6,58,61,41,42
wall_path6_0008,path6,49,50,42,43
wall_path6_0009,path6,61,63,42,43
wall_path6_0010,path6,48,49,43,44
wall_path6_0011,path6,63,65,43,44
wall_path6_0012,path6,48,49,44,45
wall_path6_0013,path6,65,67,44,45
wall_path6_0014,path6,47,48,45,46
wall_path6_0015,path6,67,69,45,46
wall_path6_0016,path6,45,47,46,47
wall_path6_0017,path6,57,59,46,47
wall_path6_0018,path6,69,72,46,47
wall_path6_0019,path6,44,46,47,48
