name,kind,x,y,width,height,rotation,x0,x1,y0,y1
channel_1,channel,476.0,227.0,54.0,11.0,24.0,455,510,305,338
channel_2,channel,786.0,378.0,50.0,10.0,288.0,769,795,409,460
channel_3,channel,987.0,370.0,68.0,10.0,10.0,967,1037,448,471
channel_4,channel,1084.0,386.0,79.0,10.0,10.0,1064,1145,464,488
initial_groups,initial,975.0,430.0,45.0,25.0,0.0,957,1003,508,534
goal_region,goal,779.0,389.0,17.0,16.0,20.0,756,779,467,489
goal_region2,goal,960.0,365.0,17.0,16.0,12.0,939,960,443,463
goal_region5,goal,1166.0,407.0,17.0,16.0,6.0,1146,1166,485,504
goal_region11,goal,452.0,219.0,17.0,16.0,20.0,430,452,298,319
exits,exit,899.009,423.679,40.0,23.0,8.0,878,922,501,531
decision_channel_split,route,967.0,404.0,53.0,16.0,0.0,949,1003,482,499
merge_after_channels,route,897.0,398.0,53.0,16.0,10.0,877,932,476,502
post_channel_1,route,520.0,220.0,17.0,16.0,20.0,498,520,298,320
post_channel_2,route,809.0,305.0,17.0,16.0,20.0,786,809,383,405
post_channel_3,route,1047.0,348.0,13.0,19.0,6.0,1027,1043,426,447
post_channel_4,route,1089.0,352.0,17.0,20.0,6.0,1069,1089,430,453
