name,source_path,x0,x1,y0,y1
wall_path2_0000,path2,454,455,317,318
wall_path2_0001,path2,453,457,318,319
wall_path2_0002,path2,452,459,319,320
wall_path2_0003,path2,453,462,320,321
wall_path2_0004,path2,454,464,321,322
wall_path2_0005,path2,456,466,322,323
wall_path2_0006,path2,519,520,322,323
wall_path2_0007,path2,459,468,323,324
wall_path2_0008,path2,517,523,323,324
wall_path2_0009,path2,461,470,324,325
wall_path2_0010,path2,517,526,324,325
wall_path2_0011,path2,463,473,325,326
wall_path2_0012,path2,516,530,325,326
wall_path2_0013,path2,465,475,326,327
wall_path2_0014,path2,516,533,326,327
wall_path2_0015,path2,467,477,327,328
wall_path2_0016,path2,515,520,327,328
wall_path2_0017,path2,522,536,327,328
wall_path2_0018,path2,470,479,328,329
wall_path2_0019,path2,515,519,328,329
wall_path2_0020,path2,526,539,328,329
wall_path2_0021,path2,472,481,329,330
wall_path2_0022,path2,514,519,329,330
wall_path2_0023,path2,529,543,329,330
wall_path2_0024,path2,474,484,330,331
wall_path2_0025,path2,514,518,330,331
wall_path2_0026,path2,532,546,330,331
wall_path2_0027,path2,476,486,331,332
wall_path2_0028,path2,513,518,331,332
wall_path2_0029,path2,535,549,331,332
wall_path2_0030,path2,478,488,332,333
wall_path2_0031,path2,513,517,332,333
wall_path2_0032,path2,539,552,332,333
wall_path2_0033,path2,481,490,333,334
wall_path2_0034,path2,512,517,333,334
wall_path2_0035,path2,542,556,333,334
wall_path2_0036,path2,483,492,334,335
wall_path2_0037,path2,512,516,334,335
wall_path2_0038,path2,545,559,334,335
wall_path2_0039,path2,485,495,335,336
wall_path2_0040,path2,511,516,335,336
wall_path2_0041,path2,549,562,335,336
wall_path2_0042,path2,487,497,336,337
wall_path2_0043,path2,511,515,336,337
wall_path2_0044,path2,552,565,336,337
wall_path2_0045,path2,489,499,337,338
wall_path2_0046,path2,510,515,337,338
wall_path2_0047,path2,555,569,337,338
wall_path2_0048,path2,492,501,338,339
wall_path2_0049,path2,510,514,338,339
wall_path2_0050,path2,558,572,338,339
wall_path2_0051,path2,494,503,339,340
wall_path2_0052,path2,509,514,339,340
wall_path2_0053,path2,562,575,339,340
wall_path2_0054,path2,496,506,340,341
wall_path2_0055,path2,509,513,340,341
wall_path2_0056,path2,565,578,340,341
wall_path2_0057,path2,498,513,341,342
wall_path2_0058,path2,568,582,341,342
wall_path2_0059,path2,500,512,342,343
wall_path2_0060,path2,571,585,342,343
wall_path2_0061,path2,503,512,343,344
wall_path2_0062,path2,575,588,343,344
wall_path2_0063,path2,505,511,344,345
wall_path2_0064,path2,578,591,344,345
wall_path2_0065,path2,507,511,345,346
wall_path2_0066,path2,581,595,345,346
wall_path2_0067,path2,506,511,346,347
wall_path2_0068,path2,584,598,346,347
wall_path2_0069,path2,506,510,347,348
wall_path2_0070,path2,588,601,347,348
wall_path2_0071,path2,506,510,348,349
wall_path2_0072,path2,591,604,348,349
wall_path2_0073,path2,505,510,349,350
wall_path2_0074,path2,594,608,349,350
wall_path2_0075,path2,505,509,350,351
wall_path2_0076,path2,597,611,350,351
wall_path2_0077,path2,505,509,351,352
wall_path2_0078,path2,601,614,351,352
wall_path2_0079,path2,504,509,352,353
wall_path2_0080,path2,604,617,352,353
wall_path2_0081,path2,504,508,353,354
wall_path2_0082,path2,607,621,353,354
wall_path2_0083,path2,504,508,354,355
wall_path2_0084,path2,610,624,354,355
wall_path2_0085,path2,503,508,355,356
wall_path2_0086,path2,614,627,355,356
wall_path2_0087,path2,503,507,356,357
wall_path2_0088,path2,617,630,356,357
wall_path2_0089,path2,503,507,357,358
wall_path2_0090,path2,620,634,357,358
wall_path2_0091,path2,502,507,358,359
wall_path2_0092,path2,623,637,358,359
wall_path2_0093,path2,502,506,359,360
wall_path2_0094,path2,627,640,359,360
wall_path2_0095,path2,502,506,360,361
wall_path2_0096,path2,630,643,360,361
wall_path2_0097,path2,501,506,361,362
wall_path2_0098,path2,633,647,361,362
wall_path2_0099,path2,501,505,362,363
wall_path2_0100,path2,636,650,362,363
wall_path2_0101,path2,501,505,363,364
wall_path2_0102,path2,640,653,363,364
wall_path2_0103,path2,500,505,364,365
wall_path2_0104,path2,643,656,364,365
wall_path2_0105,path2,500,504,365,366
wall_path2_0106,path2,646,660,365,366
wall_path2_0107,path2,500,504,366,367
wall_path2_0108,path2,649,663,366,367
wall_path2_0109,path2,499,504,367,368
wall_path2_0110,path2,653,666,367,368
wall_path2_0111,path2,499,503,368,369
wall_path2_0112,path2,656,669,368,369
wall_path2_0113,path2,499,503,369,370
wall_path2_0114,path2,659,673,369,370
wall_path2_0115,path2,498,503,370,371
wall_path2_0116,path2,662,676,370,371
wall_path2_0117,path2,498,502,371,372
wall_path2_0118,path2,666,679,371,372
wall_path2_0119,path2,498,502,372,373
wall_path2_0120,path2,669,682,372,373
wall_path2_0121,path2,497,503,373,374
wall_path2_0122,path2,672,686,373,374
wall_path2_0123,path2,497,507,374,375
wall_path2_0124,path2,675,689,374,375
wall_path2_0125,path2,498,510,375,376
wall_path2_0126,path2,679,692,375,376
wall_path2_0127,path2,500,513,376,377
wall_path2_0128,path2,682,695,376,377
wall_path2_0129,path2,503,516,377,378
wall_path2_0130,path2,685,699,377,378
wall_path2_0131,path2,506,519,378,379
wall_path2_0132,path2,688,702,378,379
wall_path2_0133,path2,509,522,379,380
wall_path2_0134,path2,692,705,379,380
wall_path2_0135,path2,512,525,380,381
wall_path2_0136,path2,695,708,380,381
wall_path2_0137,path2,515,528,381,382
wall_path2_0138,path2,698,712,381,382
wall_path2_0139,path2,518,532,382,383
wall_path2_0140,path2,701,715,382,383
wall_path2_0141,path2,522,535,383,384
wall_path2_0142,path2,705,718,383,384
